"A","B","C","G","","","","","",""
"29512","43833","31859","1","343.90","4.19","30.27","49.19","",""
"29512","43833","31859","1","343.79","4.01","30.32","49.21","",""
"29367","43833","31859","1","343.79","3.78","30.55","49.30","",""
"29367","43062","31859","1","343.72","3.73","30.71","49.42","",""
"29367","43062","31148","1","343.70","3.92","30.94","49.51","",""
"29367","43062","31148","1","343.92","3.99","31.00","49.54","",""
"29571","43062","31148","1","343.74","3.84","31.08","49.62","",""
"29571","45034","31148","1","343.96","3.70","31.28","49.74","",""
"29571","45034","31754","1","343.68","3.67","31.36","49.84","",""
"29571","45034","31754","1","343.64","3.74","31.41","49.86","",""
"29546","45034","31754","1","343.71","3.70","31.67","49.95","",""
"29546","43650","31754","1","343.93","3.42","31.82","50.07","",""
"29546","43650","31426","1","343.90","3.54","31.96","50.16","",""
"29546","43650","31426","1","343.83","3.58","32.00","50.19","",""
"29527","43650","31426","1","343.85","3.52","32.11","50.28","",""
"29527","43879","31426","1","344.47","3.75","32.30","50.39","",""
"29527","43879","31843","1","344.26","3.78","32.45","50.49","",""
"29527","43879","31843","1","344.27","3.76","32.51","50.51","",""
"29602","43879","31843","1","344.41","3.68","32.71","50.60","",""
"29602","43269","31843","1","344.72","3.83","32.85","50.72","",""
"29602","43269","31235","1","344.53","3.94","33.02","50.81","",""
"29602","43269","31235","1","344.46","3.90","33.07","50.84","",""
"29580","43269","31235","1","344.42","3.93","33.19","50.92","",""
"29580","44438","31235","1","343.78","4.65","33.13","51.04","",""
"29580","44438","31845","1","344.09","4.33","33.36","51.14","",""
"29580","44438","31845","1","344.24","4.26","33.39","51.16","",""
"29571","44438","31845","1","344.74","4.59","33.95","51.25","",""
"29571","43592","31845","1","344.28","5.23","34.65","51.37","",""
"29571","43592","31463","1","344.26","5.51","34.79","51.46","",""
"29571","43592","31463","1","343.81","5.66","35.00","51.49","",""
"29585","43592","31463","1","345.54","5.07","35.63","51.57","",""
"29585","43763","31463","1","346.17","5.27","37.06","51.69","",""
"29585","43763","31945","1","346.80","4.84","37.54","51.79","",""
"29585","43763","31945","1","347.14","4.47","37.75","51.81","",""
"29944","43763","31945","1","346.36","3.78","37.76","51.90","",""
"29944","43666","31945","1","346.20","3.57","37.82","52.02","",""
"29944","43666","31106","1","348.22","3.18","38.05","52.11","",""
"29944","43666","31106","1","348.42","3.11","38.10","52.14","",""
"29619","43666","31106","1","348.01","2.96","38.30","52.22","",""
"29619","44801","31106","1","347.77","3.09","38.53","52.34","",""
"29619","44801","31429","1","348.18","3.14","38.60","52.44","",""
"29619","44801","31429","1","348.10","3.26","38.60","52.46","",""
"29755","44801","31429","1","347.98","3.48","38.61","52.55","",""
"29755","43393","31429","1","347.79","3.61","38.67","52.67","",""
"29755","43393","31769","1","347.36","3.85","38.81","52.76","",""
"29755","43393","31769","1","346.89","3.80","38.86","52.79","",""
"29591","43393","31769","1","346.72","3.83","39.06","52.88","",""
"29591","42780","31769","1","346.70","3.72","39.32","52.99","",""
"29591","42780","31826","1","346.81","4.23","39.38","53.08","",""
"29591","42780","31826","1","346.98","4.17","39.37","53.11","",""
"29992","42780","31826","1","346.00","4.04","39.44","53.20","",""
"29992","43696","31826","1","346.02","4.20","39.59","53.32","",""
"29992","43696","31166","1","346.29","4.56","39.66","53.41","",""
"29992","43696","31166","1","347.02","4.60","39.60","53.43","",""
"29591","43696","31166","1","347.55","4.45","39.72","53.52","",""
"29591","44746","31166","1","348.31","4.55","39.86","53.64","",""
"29591","44746","31364","1","349.81","4.44","40.01","53.73","",""
"29591","44746","31364","1","349.25","4.35","40.01","53.76","",""
"29854","44746","31364","1","348.83","4.24","40.01","53.85","",""
"29854","43365","31364","1","348.30","4.10","40.16","53.97","",""
"29854","43365","31871","1","348.90","4.23","40.36","54.06","",""
"29854","43365","31871","1","348.77","4.31","40.42","54.09","",""
"29538","43365","31871","1","349.03","4.22","40.58","54.17","",""
"29538","42693","31871","1","349.41","4.43","40.82","54.29","",""
"29538","42693","31847","1","349.59","4.40","40.92","54.38","",""
"29538","42693","31847","1","349.27","4.44","40.94","54.41","",""
"30049","42693","31847","1","349.19","4.24","41.15","54.50","",""
"30049","43662","31847","1","349.21","3.86","41.38","54.61","",""
"30049","43662","31120","1","348.58","3.89","41.56","54.71","",""
"30049","43662","31120","1","348.33","3.92","41.58","54.73","",""
"29581","43662","31120","1","347.93","3.75","41.72","54.82","",""
"29581","44761","31120","1","348.02","3.36","41.86","54.94","",""
"29581","44761","31450","1","347.65","3.49","41.88","55.03","",""
"29581","44761","31450","1","347.33","3.67","41.88","55.06","",""
"29764","44761","31450","1","347.01","3.61","41.95","55.15","",""
"29764","43392","31450","1","347.21","3.80","42.14","55.26","",""
"29764","43392","32286","1","347.24","4.03","42.29","55.36","",""
"29764","43392","32286","1","347.18","4.13","42.32","55.38","",""
"29763","43392","32286","1","347.09","4.43","42.44","55.47","",""
"29763","43198","32286","1","346.76","4.52","42.70","55.59","",""
