A,B,C,G,,,,,,,,,
55515,42544,44721,0,314.32,79.71,-101.00,50.11,,,,,
55515,42544,44721,0,301.83,83.44,-100.68,50.13,,,,,
55940,42544,44721,0,292.78,83.84,-98.87,50.27,,,,,
55940,44757,44721,0,276.21,89.51,-95.87,50.39,,,,,
55940,44757,44521,0,268.67,93.11,-96.34,50.51,,,,,
55940,44757,44521,0,265.70,94.96,-96.24,50.54,,,,,
56106,44757,44521,0,258.46,99.04,-95.17,50.68,,,,,
56106,47314,44521,0,254.81,101.11,-96.16,50.81,,,,,
56106,47314,44000,0,252.70,98.11,-97.09,50.93,,,,,
56106,47314,44000,0,254.30,97.16,-97.47,50.95,,,,,
56452,47314,44000,0,254.99,93.02,-102.87,51.10,,,,,
56452,47096,44000,0,252.50,92.25,-113.51,51.22,,,,,
56452,47096,44672,0,246.77,90.07,-127.39,51.34,,,,,
56452,47096,44672,0,248.66,91.49,-129.97,51.37,,,,,
56016,47096,44672,0,238.76,84.61,-148.56,51.51,,,,,
56016,44660,44672,0,186.31,74.38,-166.63,51.63,,,,,
56016,44660,44478,0,142.44,67.41,-179.24,51.75,,,,,
56016,44660,44478,0,121.65,67.83,-181.85,51.78,,,,,
59269,44660,44478,0,84.73,57.26,-195.70,51.93,,,,,
59269,41420,44478,0,61.88,47.46,-206.97,52.04,,,,,
59269,41420,44128,0,45.69,38.70,-216.66,52.16,,,,,
59269,41420,44128,0,46.54,36.56,-218.76,52.19,,,,,
58602,41420,44128,0,31.18,114.65,-228.49,52.33,,,,,
58602,40043,44128,0,27.54,183.06,-238.29,52.44,,,,,
58602,40043,44742,0,27.21,235.99,-247.47,52.56,,,,,
58602,40043,44742,0,33.99,259.04,-249.23,52.59,,,,,
56226,40043,44742,0,32.79,300.07,-259.51,52.74,,,,,
56226,38047,44742,0,35.02,321.04,-266.67,52.84,,,,,
56226,38047,46618,0,34.54,339.16,-273.00,52.97,,,,,
56226,38047,46618,0,38.63,333.54,-274.30,52.99,,,,,
48103,38047,46618,0,37.32,350.31,-282.96,53.12,,,,,
48103,37185,46618,0,34.15,360.31,-287.89,53.22,,,,,
